Client_ID,Client_Name,Sector,Asset_Class,Region,Outstanding_Balance_AUD,Maturity_Date,Internal_Risk_Rating,Capital_Account_Code,Is_SBTi_Aligned
MAC-CGM-2000,BHP Group Limited,Technology,Listed Equity,Australia,190397358.8,09-06-2028,8,GL-800-X,Yes
MAC-CGM-2001,Rio Tinto Group,Aviation,Corporate Loan,Americas,300440828.2,09-01-2032,3,GL-314-X,No
MAC-CGM-2002,Woodside Energy Group Ltd,Agricultural Commodities,Corporate Loan,Americas,33751388.02,06-12-2031,5,GL-199-X,No
MAC-CGM-2003,Westpac Banking Corporation,Utilities - Gas,Listed Equity,Asia-Pacific,75719074.87,10-06-2026,6,GL-408-X,Yes
MAC-CGM-2004,Telstra Group Limited,Commercial Real Estate,Unlisted Equity,EMEA,485105376.8,26-03-2030,6,GL-485-X,In Progress
MAC-CGM-2005,Counterparty_005,Technology,Unlisted Equity,Australia,95003358.77,12-06-2032,1,GL-559-X,Yes
MAC-CGM-2006,Counterparty_006,Steel Manufacturing,Listed Equity,Asia-Pacific,307768314.4,19-05-2032,9,GL-660-X,No
MAC-CGM-2007,Counterparty_007,Oil & Gas Exploration,Project Finance,Americas,264763456.8,01-02-2033,10,GL-575-X,No
MAC-CGM-2008,Counterparty_008,Oil & Gas Exploration,Listed Equity,Asia-Pacific,487008981.8,11-01-2031,3,GL-975-X,Yes
MAC-CGM-2009,Counterparty_009,Aviation,Unlisted Equity,EMEA,259546047,19-12-2033,9,GL-230-X,No
MAC-CGM-2010,Counterparty_010,Aviation,Listed Equity,EMEA,430670501.3,08-11-2027,5,GL-940-X,Yes
MAC-CGM-2011,Counterparty_011,Aviation,Corporate Loan,EMEA,37200538.53,01-10-2032,9,GL-415-X,Yes
MAC-CGM-2012,Counterparty_012,Oil & Gas Exploration,Corporate Loan,EMEA,283827667.8,03-09-2031,9,GL-445-X,No
MAC-CGM-2013,Counterparty_013,Utilities - Gas,Project Finance,Americas,53347696.43,25-10-2029,7,GL-527-X,No
MAC-CGM-2014,Counterparty_014,Oil & Gas Exploration,Project Finance,Americas,250112570.5,06-03-2026,1,GL-661-X,Yes
MAC-CGM-2015,Counterparty_015,Mining - Iron Ore,Project Finance,Australia,332948530.8,01-07-2034,6,GL-665-X,Yes
MAC-CGM-2016,Counterparty_016,Shipping & Logistics,Project Finance,Americas,275621588.3,11-03-2030,2,GL-829-X,Yes
MAC-CGM-2017,Counterparty_017,Steel Manufacturing,Listed Equity,Australia,227628296,20-08-2026,4,GL-369-X,No
MAC-CGM-2018,Counterparty_018,Agricultural Commodities,Project Finance,EMEA,364999638,27-03-2035,8,GL-561-X,No
MAC-CGM-2019,Counterparty_019,Steel Manufacturing,Corporate Loan,EMEA,102011516.9,12-11-2028,8,GL-824-X,In Progress
MAC-CGM-2020,Counterparty_020,Steel Manufacturing,Unlisted Equity,Australia,197395258.4,03-01-2027,5,GL-891-X,No
MAC-CGM-2021,Counterparty_021,Renewable Energy,Corporate Loan,Americas,181592896.7,04-03-2028,9,GL-256-X,In Progress
MAC-CGM-2022,Counterparty_022,Oil & Gas Exploration,Project Finance,Americas,402087505.5,05-04-2026,9,GL-938-X,Yes
MAC-CGM-2023,Counterparty_023,Aviation,Listed Equity,Australia,214583733,28-03-2029,8,GL-571-X,In Progress
MAC-CGM-2024,Counterparty_024,Technology,Listed Equity,Americas,11969512.24,02-04-2030,1,GL-491-X,No
MAC-CGM-2025,Counterparty_025,Shipping & Logistics,Corporate Loan,Americas,365858548.2,24-06-2032,5,GL-589-X,In Progress
MAC-CGM-2026,Counterparty_026,Steel Manufacturing,Project Finance,Asia-Pacific,182440535.6,20-10-2031,7,GL-300-X,In Progress
MAC-CGM-2027,Counterparty_027,Utilities - Gas,Corporate Loan,Americas,313532572.8,27-03-2034,1,GL-147-X,In Progress
MAC-CGM-2028,Counterparty_028,Utilities - Gas,Corporate Loan,Americas,188555034.8,17-11-2030,5,GL-198-X,Yes
MAC-CGM-2029,Counterparty_029,Renewable Energy,Project Finance,Americas,297692404.9,04-09-2033,3,GL-838-X,In Progress
MAC-CGM-2030,Counterparty_030,Shipping & Logistics,Listed Equity,Asia-Pacific,64199151.74,24-02-2030,3,GL-868-X,No
MAC-CGM-2031,Counterparty_031,Renewable Energy,Unlisted Equity,Asia-Pacific,362256113,17-06-2027,7,GL-894-X,In Progress
MAC-CGM-2032,Counterparty_032,Shipping & Logistics,Unlisted Equity,EMEA,263752750.5,04-12-2028,10,GL-653-X,Yes
MAC-CGM-2033,Counterparty_033,Agricultural Commodities,Listed Equity,Americas,222471568.4,12-06-2028,7,GL-340-X,In Progress
MAC-CGM-2034,Counterparty_034,Technology,Listed Equity,Asia-Pacific,160606210.6,06-05-2026,4,GL-833-X,No
MAC-CGM-2035,Counterparty_035,Technology,Listed Equity,Asia-Pacific,73969069.93,27-04-2032,4,GL-624-X,In Progress
MAC-CGM-2036,Counterparty_036,Steel Manufacturing,Unlisted Equity,Asia-Pacific,43105055.37,19-10-2030,3,GL-185-X,Yes
MAC-CGM-2037,Counterparty_037,Commercial Real Estate,Listed Equity,Asia-Pacific,440831580.3,22-07-2033,9,GL-745-X,No
MAC-CGM-2038,Counterparty_038,Aviation,Listed Equity,Asia-Pacific,230984612.4,01-08-2030,4,GL-897-X,Yes
MAC-CGM-2039,Counterparty_039,Renewable Energy,Corporate Loan,Australia,442223728.2,21-08-2030,10,GL-447-X,Yes
MAC-CGM-2040,Counterparty_040,Renewable Energy,Unlisted Equity,Americas,181367429.9,17-03-2032,1,GL-484-X,No
MAC-CGM-2041,Counterparty_041,Utilities - Gas,Listed Equity,Americas,117827905.5,03-06-2033,4,GL-844-X,In Progress
MAC-CGM-2042,Counterparty_042,Aviation,Corporate Loan,Americas,155866722.8,10-01-2028,8,GL-510-X,Yes
MAC-CGM-2043,Counterparty_043,Commercial Real Estate,Corporate Loan,EMEA,211618446.6,09-02-2035,3,GL-333-X,Yes
MAC-CGM-2044,Counterparty_044,Commercial Real Estate,Corporate Loan,Americas,172119509.8,22-07-2031,6,GL-771-X,Yes
MAC-CGM-2045,Counterparty_045,Technology,Listed Equity,Asia-Pacific,261801357.8,17-02-2035,4,GL-212-X,Yes
MAC-CGM-2046,Counterparty_046,Aviation,Unlisted Equity,Australia,37121662.32,24-11-2032,4,GL-367-X,In Progress
MAC-CGM-2047,Counterparty_047,Technology,Corporate Loan,EMEA,129632236.4,20-07-2035,3,GL-212-X,No
MAC-CGM-2048,Counterparty_048,Aviation,Corporate Loan,Australia,78303030.33,18-04-2034,1,GL-798-X,In Progress
MAC-CGM-2049,Counterparty_049,Agricultural Commodities,Corporate Loan,EMEA,306734345.3,03-11-2027,6,GL-954-X,No
MAC-CGM-2050,Counterparty_050,Aviation,Corporate Loan,Asia-Pacific,142929999.8,09-02-2035,1,GL-502-X,No
MAC-CGM-2051,Counterparty_051,Oil & Gas Exploration,Project Finance,Asia-Pacific,341949198.5,11-01-2029,10,GL-771-X,No
MAC-CGM-2052,Counterparty_052,Aviation,Unlisted Equity,Asia-Pacific,278682079.1,13-05-2032,4,GL-538-X,Yes
MAC-CGM-2053,Counterparty_053,Steel Manufacturing,Project Finance,EMEA,382001709.6,02-06-2026,1,GL-866-X,In Progress
MAC-CGM-2054,Counterparty_054,Utilities - Gas,Unlisted Equity,Americas,402554179.4,09-02-2034,2,GL-297-X,In Progress
